period,pnumber,nnumber
20200707287,0,3
20200707286,4,0
20200707285,0,4
20200707284,9,0
20200707283,3,9
20200707282,2,3
20200707281,3,2
20200707280,6,3
20200707279,3,6
20200707278,0,3
20200707277,2,0
20200707276,8,2
20200707275,1,8
20200707274,3,1
20200707273,8,3
20200707272,6,8
20200707271,7,6
20200707270,0,7
20200707269,2,0
20200707268,8,2
20200707267,1,8
20200707266,8,1
20200707265,3,8
20200707264,1,3
20200707263,7,1
20200707262,6,7
20200707261,1,6
20200707260,9,1
20200707259,3,9
20200707258,6,3
20200707257,5,6
20200707256,2,5
20200707255,1,2
20200707254,4,1
20200707253,7,4
20200707252,6,7
20200707251,1,6
20200707250,5,1
20200707249,5,5
20200707248,8,5
20200707247,8,8
20200707246,5,8
20200707245,9,5
20200707244,0,9
20200707243,1,0
20200707242,5,1
20200707241,6,5
20200707240,9,6
20200707239,6,9
20200707238,1,6
20200707237,0,1
20200707236,3,0
20200707235,2,3
20200707234,4,2
20200707233,1,4
20200707232,9,1
20200707231,8,9
20200707230,1,8
20200707229,0,1
20200707228,5,0
20200707227,4,5
20200707226,3,4
20200707225,0,3
20200707224,0,0
20200707223,6,0
20200707222,3,6
20200707221,9,3
20200707220,4,9
20200707219,1,4
20200707218,8,1
20200707217,5,8
20200707216,4,5
20200707215,0,4
20200707214,6,0
20200707213,2,6
20200707212,7,2
20200707211,0,7
20200707210,8,0
20200707209,9,8
20200707208,0,9
20200707207,3,0
20200707206,0,3
20200707205,3,0
20200707204,4,3
20200707203,9,4
20200707202,0,9
20200707201,9,0
20200707200,6,9
20200707199,5,6
20200707198,5,5
20200707197,4,5
20200707196,9,4
20200707195,6,9
20200707194,9,6
20200707193,3,9
20200707192,2,3
20200707191,7,2
20200707190,8,7
20200707189,2,8
20200707188,8,2
20200707187,2,8
20200707186,5,2
20200707185,5,5
20200707184,8,5
20200707183,2,8
20200707182,4,2
20200707181,1,4
20200707180,8,1
20200707179,6,8
20200707178,2,6
20200707177,4,2
20200707176,8,4
20200707175,0,8
20200707174,0,0
20200707173,2,0
20200707172,9,2
20200707171,1,9
20200707170,7,1
20200707169,7,7
20200707168,1,7
20200707167,6,1
20200707166,2,6
20200707165,8,2
20200707164,8,8
20200707163,6,8
20200707162,0,6
20200707161,4,0
20200707160,4,4
20200707159,2,4
20200707158,4,2
20200707157,4,4
20200707156,2,4
20200707155,7,2
20200707154,9,7
20200707153,6,9
20200707152,2,6
20200707151,0,2
20200707150,4,0
20200707149,8,4
20200707148,8,8
20200707147,6,8
20200707146,7,6
20200707145,1,7
20200707144,6,1
20200707143,9,6
20200707142,7,9
20200707141,4,7
20200707140,3,4
20200707139,1,3
20200707138,8,1
20200707137,3,8
20200707136,6,3
20200707135,7,6
20200707134,4,7
20200707133,4,4
20200707132,0,4
20200707131,0,0
20200707130,2,0
20200707129,7,2
20200707128,1,7
20200707127,2,1
20200707126,2,2
20200707125,3,2
20200707124,2,3
20200707123,2,2
20200707122,5,2
20200707121,6,5
20200707120,2,6
20200707119,5,2
20200707118,5,5
20200707117,6,5
20200707116,9,6
20200707115,1,9
20200707114,8,1
20200707113,7,8
20200707112,0,7
20200707111,8,0
20200707110,7,8
20200707109,8,7
20200707108,5,8
20200707107,5,5
20200707106,1,5
20200707105,3,1
20200707104,4,3
20200707103,6,4
20200707102,7,6
20200707101,8,7
20200707100,1,8
20200707099,1,1
20200707098,8,1
20200707097,2,8
20200707096,3,2
20200707095,6,3
20200707094,7,6
20200707093,5,7
20200707092,1,5
20200707091,1,1
20200707090,6,1
20200707089,7,6
20200707088,2,7
20200707087,3,2
20200707086,9,3
20200707085,5,9
20200707084,0,5
20200707083,7,0
20200707082,9,7
20200707081,2,9
20200707080,7,2
20200707079,4,7
20200707078,3,4
20200707077,3,3
20200707076,3,3
20200707075,0,3
20200707074,4,0
20200707073,6,4
20200707072,7,6
20200707071,1,7
20200707070,3,1
20200707069,7,3
20200707068,9,7
20200707067,9,9
20200707066,0,9
20200707065,2,0
20200707064,0,2
20200707063,6,0
20200707062,3,6
20200707061,5,3
20200707060,9,5
20200707059,8,9
20200707058,2,8
20200707057,6,2
20200707056,0,6
20200707055,4,0
20200707054,7,4
20200707053,9,7
20200707052,8,9
20200707051,6,8
20200707050,8,6
20200707049,3,8
20200707048,8,3
20200707047,1,8
20200707046,1,1
20200707045,3,1
20200707044,2,3
20200707043,1,2
20200707042,2,1
20200707041,1,2
20200707040,4,1
20200707039,7,4
20200707038,4,7
20200707037,9,4
20200707036,5,9
20200707035,0,5
20200707034,7,0
20200707033,3,7
20200707032,5,3
20200707031,1,5
20200707030,4,1
20200707029,4,4
20200707028,5,4
20200707027,7,5
20200707026,6,7
20200707025,5,6
20200707024,6,5
20200707023,7,6
20200707022,4,7
20200707021,0,4
20200707020,8,0
20200707019,1,8
20200707018,4,1
20200707017,2,4
20200707016,7,2
20200707015,6,7
20200707014,5,6
20200707013,0,5
20200707012,5,0
20200707011,7,5
20200707010,8,7
20200707009,7,8
20200707008,0,7
20200707007,8,0
20200707006,8,8
20200707005,2,8
20200707004,6,2
20200707003,2,6
20200707002,8,2
20200707001,8,8
20200706480,1,8
20200706479,4,1
20200706478,6,4
20200706477,8,6
20200706476,0,8
20200706475,6,0
20200706474,0,6
20200706473,1,0
20200706472,1,1
20200706471,0,1
20200706470,1,0
20200706469,4,1
20200706468,5,4
20200706467,0,5
20200706466,3,0
20200706465,2,3
20200706464,2,2
20200706463,3,2
20200706462,0,3
20200706461,5,0
20200706460,9,5
20200706459,3,9
20200706458,2,3
20200706457,5,2
20200706456,0,5
20200706455,0,0
20200706454,6,0
20200706453,5,6
20200706452,8,5
20200706451,5,8
20200706450,3,5
20200706449,3,3
20200706448,5,3
20200706447,0,5
20200706446,9,0
20200706445,8,9
20200706444,4,8
20200706443,0,4
20200706442,8,0
20200706441,9,8
20200706440,1,9
20200706439,7,1
20200706438,0,7
20200706437,1,0
20200706436,4,1
20200706435,7,4
20200706434,4,7
20200706433,8,4
20200706432,6,8
20200706431,9,6
20200706430,8,9
20200706429,5,8
20200706428,4,5
20200706427,3,4
20200706426,3,3
20200706425,1,3
20200706424,0,1
20200706423,5,0
20200706422,0,5
20200706421,0,0
20200706420,7,0
20200706419,3,7
20200706418,0,3
20200706417,0,0
20200706416,2,0
20200706415,5,2
20200706414,0,5
20200706413,6,0
20200706412,4,6
20200706411,4,4
20200706410,9,4
20200706409,0,9
20200706408,4,0
20200706407,0,4
20200706406,8,0
20200706405,9,8
20200706404,6,9
20200706403,3,6
20200706402,1,3
20200706401,0,1
20200706400,3,0
20200706399,5,3
20200706398,0,5
20200706397,1,0
20200706396,5,1
20200706395,9,5
20200706394,3,9
20200706393,6,3
20200706392,3,6
20200706391,4,3
20200706390,4,4
20200706389,4,4
20200706388,3,4
20200706387,0,3
20200706386,5,0
20200706385,4,5
20200706384,9,4
20200706383,5,9
20200706382,8,5
20200706381,4,8
20200706380,6,4
20200706379,4,6
20200706378,8,4
20200706377,1,8
20200706376,8,1
20200706375,4,8
20200706374,8,4
20200706373,6,8
20200706372,9,6
20200706371,6,9
20200706370,2,6
20200706369,3,2
20200706368,6,3
20200706367,8,6
20200706366,5,8
20200706365,7,5
20200706364,1,7
20200706363,7,1
20200706362,0,7
20200706361,4,0
20200706360,9,4
20200706359,8,9
20200706358,1,8
20200706357,1,1
20200706356,0,1
20200706355,2,0
20200706354,9,2
20200706353,6,9
20200706352,6,6
20200706351,3,6
20200706350,9,3
20200706349,0,9
20200706348,1,0
20200706347,9,1
20200706346,8,9
20200706345,4,8
20200706344,1,4
20200706343,3,1
20200706342,0,3
20200706341,2,0
20200706340,9,2
20200706339,0,9
20200706338,3,0
20200706337,6,3
20200706336,7,6
20200706335,8,7
20200706334,8,8
20200706333,3,8
20200706332,0,3
20200706331,6,0
20200706330,9,6
20200706329,2,9
20200706328,4,2
20200706327,2,4
20200706326,2,2
20200706325,2,2
20200706324,7,2
20200706323,3,7
20200706322,5,3
20200706321,9,5
20200706320,5,9
20200706319,7,5
20200706318,7,7
20200706317,8,7
20200706316,8,8
20200706315,4,8
20200706314,6,4
20200706313,3,6
20200706312,8,3
20200706311,0,8
20200706310,2,0
20200706309,9,2
20200706308,8,9
20200706307,4,8
20200706306,9,4
20200706305,4,9
20200706304,4,4
20200706303,7,4
20200706302,7,7
20200706301,6,7
20200706300,2,6
20200706299,3,2
20200706298,1,3
20200706297,2,1
20200706296,4,2
20200706295,5,4
20200706294,1,5
20200706293,0,1
20200706292,9,0
20200706291,6,9
20200706290,5,6
20200706289,0,5
20200706288,7,0
20200706287,4,7
20200706286,1,4
20200706285,2,1
20200706284,8,2
20200706283,4,8
20200706282,0,4
20200706281,7,0
20200706280,8,7
20200706279,6,8
20200706278,9,6
20200706277,4,9
20200706276,5,4
20200706275,9,5
20200706274,6,9
20200706273,5,6
20200706272,8,5
20200706271,7,8
20200706270,8,7
20200706269,6,8
20200706268,4,6
20200706267,5,4
20200706266,2,5
20200706265,3,2
20200706264,7,3
20200706263,7,7
20200706262,9,7
20200706261,5,9
20200706260,6,5
20200706259,5,6
20200706258,3,5
20200706257,3,3
20200706256,2,3
20200706255,1,2
20200706254,9,1
20200706253,9,9
20200706252,8,9
20200706251,0,8
20200706250,7,0
20200706249,1,7
20200706248,4,1
20200706247,9,4
20200706246,2,9
20200706245,5,2
20200706244,4,5
20200706243,9,4
20200706242,0,9
20200706241,6,0
20200706240,8,6
20200706239,8,8
20200706238,4,8
20200706237,3,4
20200706236,3,3
20200706235,9,3
20200706234,0,9
20200706233,3,0
20200706232,2,3
20200706231,6,2
20200706230,5,6
20200706229,0,5
20200706228,5,0
20200706227,3,5
20200706226,2,3
20200706225,0,2
20200706224,8,0
20200706223,0,8
20200706222,5,0
20200706221,7,5
20200706220,2,7
20200706219,3,2
20200706218,0,3
20200706217,8,0
20200706216,1,8
20200706215,9,1
20200706214,5,9
20200706213,1,5
20200706212,4,1
20200706211,3,4
20200706210,0,3
20200706209,7,0
20200706208,1,7
20200706207,8,1
20200706206,5,8
20200706205,6,5
20200706204,8,6
20200706203,4,8
20200706202,3,4
20200706201,1,3
20200706200,9,1
20200706199,6,9
20200706198,2,6
20200706197,3,2
20200706196,8,3
20200706195,1,8
20200706194,3,1
20200706193,0,3
20200706192,2,0
20200706191,8,2
20200706190,4,8
20200706189,2,4
20200706188,5,2
20200706187,8,5
20200706186,3,8
20200706185,5,3
20200706184,6,5
20200706183,0,6
20200706182,4,0
20200706181,2,4
20200706180,8,2
20200706179,3,8
20200706178,6,3
20200706177,4,6
20200706176,3,4
20200706175,5,3
20200706174,7,5
20200706173,1,7
20200706172,2,1
20200706171,5,2
20200706170,8,5
20200706169,1,8
20200706168,9,1
20200706167,4,9
20200706166,1,4
20200706165,4,1
20200706164,1,4
20200706163,9,1
20200706162,3,9
20200706161,7,3
20200706160,6,7
20200706159,3,6
20200706158,3,3
20200706157,9,3
20200706156,3,9
20200706155,4,3
20200706154,4,4
20200706153,9,4
20200706152,2,9
20200706151,8,2
20200706150,6,8
20200706149,3,6
20200706148,9,3
20200706147,8,9
20200706146,8,8
20200706145,8,8
20200706144,8,8
20200706143,0,8
20200706142,1,0
20200706141,9,1
20200706140,0,9
20200706139,5,0
20200706138,1,5
20200706137,5,1
20200706136,1,5
20200706135,1,1
20200706134,1,1
20200706133,4,1
20200706132,3,4
20200706131,6,3
20200706130,7,6
20200706129,2,7
20200706128,8,2
20200706127,7,8
20200706126,0,7
20200706125,0,0
20200706124,3,0
20200706123,6,3
20200706122,5,6
20200706121,5,5
20200706120,1,5
20200706119,9,1
20200706118,3,9
20200706117,8,3
20200706116,6,8
20200706115,7,6
20200706114,9,7
20200706113,8,9
20200706112,5,8
20200706111,5,5
20200706110,1,5
20200706109,7,1
20200706108,6,7
20200706107,4,6
20200706106,5,4
20200706105,8,5
20200706104,4,8
20200706103,0,4
20200706102,5,0
20200706101,0,5
20200706100,4,0
20200706099,2,4
20200706098,3,2
20200706097,9,3
20200706096,8,9
20200706095,4,8
20200706094,5,4
20200706093,7,5
20200706092,5,7
20200706091,7,5
20200706090,5,7
20200706089,3,5
20200706088,9,3
20200706087,8,9
20200706086,8,8
20200706085,5,8
20200706084,6,5
20200706083,8,6
20200706082,0,8
20200706081,9,0
20200706080,0,9
20200706079,9,0
20200706078,7,9
20200706077,5,7
20200706076,0,5
20200706075,2,0
20200706074,2,2
20200706073,8,2
20200706072,2,8
20200706071,0,2
20200706070,3,0
20200706069,5,3
20200706068,1,5
20200706067,9,1
20200706066,6,9
20200706065,2,6
20200706064,8,2
20200706063,5,8
20200706062,2,5
20200706061,0,2
20200706060,9,0
20200706059,4,9
20200706058,1,4
20200706057,2,1
20200706056,0,2
20200706055,8,0
20200706054,1,8
20200706053,9,1
20200706052,6,9
20200706051,4,6
20200706050,7,4
20200706049,0,7
20200706048,6,0
20200706047,7,6
20200706046,3,7
20200706045,8,3
20200706044,5,8
20200706043,9,5
20200706042,2,9
20200706041,2,2
20200706040,6,2
20200706039,8,6
20200706038,5,8
20200706037,4,5
20200706036,5,4
20200706035,4,5
20200706034,3,4
20200706033,2,3
20200706032,1,2
20200706031,5,1
20200706030,9,5
20200706029,2,9
20200706028,2,2
20200706027,1,2
20200706026,0,1
20200706025,9,0
20200706024,6,9
20200706023,8,6
20200706022,6,8
20200706021,2,6
20200706020,9,2
20200706019,4,9
20200706018,6,4
20200706017,6,6
20200706016,7,6
20200706015,1,7
20200706014,2,1
20200706013,5,2
20200706012,4,5
20200706011,6,4
20200706010,1,6
20200706009,4,1
20200706008,4,4
20200706007,6,4
20200706006,8,6
20200706005,2,8
20200706004,8,2
20200706003,8,8
20200706002,9,8
20200706001,8,9
20200705480,1,8
20200705479,6,1
20200705478,6,6
20200705477,3,6
20200705476,8,3
20200705475,5,8
20200705474,4,5
20200705473,5,4
20200705472,1,5
20200705471,1,1
20200705470,6,1
20200705469,2,6
20200705468,7,2
20200705467,1,7
20200705466,3,1
20200705465,5,3
20200705464,5,5
20200705463,8,5
20200705462,3,8
20200705461,3,3
20200705460,1,3
20200705459,6,1
20200705458,6,6
20200705457,6,6
20200705456,9,6
20200705455,6,9
20200705454,4,6
20200705453,9,4
20200705452,3,9
20200705451,5,3
20200705450,1,5
20200705449,9,1
20200705448,5,9
20200705447,9,5
20200705446,3,9
20200705445,9,3
20200705444,9,9
20200705443,1,9
20200705442,4,1
20200705441,2,4
20200705440,2,2
20200705439,3,2
20200705438,2,3
20200705437,5,2
20200705436,7,5
20200705435,8,7
20200705434,2,8
20200705433,6,2
20200705432,0,6
20200705431,1,0
20200705430,3,1
20200705429,0,3
20200705428,1,0
20200705427,3,1
20200705426,3,3
20200705425,3,3
20200705424,9,3
20200705423,3,9
20200705422,8,3
20200705421,9,8
20200705420,6,9
20200705419,2,6
20200705418,6,2
20200705417,7,6
20200705416,7,7
20200705415,0,7
20200705414,5,0
20200705413,2,5
20200705412,8,2
20200705411,0,8
20200705410,4,0
20200705409,2,4
20200705408,4,2
20200705407,8,4
20200705406,2,8
20200705405,4,2
20200705404,0,4
20200705403,5,0
20200705402,4,5
20200705401,7,4
20200705400,2,7
20200705399,5,2
20200705398,6,5
20200705397,1,6
20200705396,9,1
20200705395,9,9
20200705394,7,9
20200705393,6,7
20200705392,7,6
20200705391,7,7
20200705390,1,7
20200705389,1,1
20200705388,8,1
20200705387,3,8
20200705386,9,3
20200705385,6,9
20200705384,0,6
20200705383,4,0
20200705382,0,4
20200705381,7,0
20200705380,8,7
20200705379,8,8
20200705378,4,8
20200705377,6,4
20200705376,4,6
20200705375,8,4
20200705374,6,8
20200705373,3,6
20200705372,8,3
20200705371,7,8
20200705370,2,7
20200705369,9,2
20200705368,9,9
20200705367,5,9
20200705366,3,5
20200705365,5,3
20200705364,4,5
20200705363,2,4
20200705362,9,2
20200705361,0,9
20200705360,2,0
20200705359,4,2
20200705358,6,4
20200705357,8,6
20200705356,6,8
20200705355,0,6
20200705354,9,0
20200705353,0,9
20200705352,2,0
20200705351,5,2
20200705350,5,5
20200705349,5,5
20200705348,9,5
20200705347,4,9
20200705346,7,4
20200705345,8,7
20200705344,4,8
20200705343,0,4
20200705342,8,0
20200705341,4,8
20200705340,9,4
20200705339,8,9
20200705338,3,8
20200705337,9,3
20200705336,2,9
20200705335,0,2
20200705334,1,0
20200705333,8,1
20200705332,6,8
20200705331,6,6
20200705330,5,6
20200705329,4,5
20200705328,2,4
20200705327,3,2
20200705326,4,3
20200705325,5,4
20200705324,6,5
20200705323,2,6
20200705322,7,2
20200705321,1,7
20200705320,1,1
20200705319,1,1
20200705318,7,1
20200705317,1,7
20200705316,7,1
20200705315,0,7
20200705314,8,0
20200705313,8,8
20200705312,1,8
20200705311,9,1
20200705310,9,9
20200705309,3,9
20200705308,7,3
20200705307,2,7
20200705306,8,2
20200705305,1,8
20200705304,7,1
20200705303,9,7
20200705302,9,9
20200705301,5,9
20200705300,2,5
20200705299,1,2
20200705298,2,1
20200705297,2,2
20200705296,6,2
20200705295,2,6
20200705294,7,2
20200705293,1,7
20200705292,4,1
20200705291,2,4
20200705290,3,2
20200705289,1,3
20200705288,9,1
20200705287,6,9
20200705286,5,6
20200705285,6,5
20200705284,1,6
20200705283,8,1
20200705282,8,8
20200705281,6,8
20200705280,2,6
20200705279,4,2
20200705278,9,4
20200705277,0,9
20200705276,5,0
20200705275,1,5
20200705274,3,1
20200705273,7,3
20200705272,7,7
20200705271,3,7
20200705270,3,3
20200705269,9,3
20200705268,9,9
20200705267,8,9
20200705266,5,8
20200705265,4,5
20200705264,0,4
20200705263,7,0
20200705262,1,7
20200705261,1,1
20200705260,4,1
20200705259,3,4
20200705258,0,3
20200705257,9,0
20200705256,9,9
20200705255,0,9
20200705254,4,0
20200705253,7,4
20200705252,5,7
20200705251,6,5
20200705250,0,6
20200705249,2,0
20200705248,4,2
20200705247,0,4
20200705246,8,0
20200705245,6,8
20200705244,6,6
20200705243,1,6
20200705242,4,1
20200705241,2,4
20200705240,5,2
20200705239,0,5
20200705238,1,0
20200705237,2,1
20200705236,9,2
20200705235,3,9
20200705234,9,3
20200705233,6,9
20200705232,5,6
20200705231,4,5
20200705230,2,4
20200705229,9,2
20200705228,0,9
20200705227,7,0
20200705226,8,7
20200705225,4,8
20200705224,1,4
20200705223,2,1
20200705222,3,2
20200705221,5,3
20200705220,0,5
20200705219,0,0
20200705218,4,0
20200705217,3,4
20200705216,8,3
20200705215,1,8
20200705214,4,1
20200705213,8,4
20200705212,3,8
20200705211,1,3
20200705210,8,1
20200705209,5,8
20200705208,9,5
20200705207,5,9
20200705206,1,5
20200705205,8,1
20200705204,0,8
20200705203,5,0
20200705202,6,5
20200705201,1,6
20200705200,7,1
20200705199,3,7
20200705198,3,3
20200705197,3,3
20200705196,0,3
20200705195,5,0
20200705194,7,5
20200705193,1,7
20200705192,5,1
20200705191,4,5
20200705190,5,4
20200705189,5,5
20200705188,7,5
20200705187,8,7
20200705186,2,8
20200705185,8,2
20200705184,8,8
20200705183,7,8
20200705182,1,7
20200705181,9,1
20200705180,7,9
20200705179,8,7
20200705178,7,8
20200705177,6,7
20200705176,9,6
20200705175,1,9
20200705174,0,1
20200705173,4,0
20200705172,8,4
20200705171,6,8
20200705170,6,6
20200705169,9,6
20200705168,0,9
20200705167,8,0
20200705166,1,8
20200705165,3,1
20200705164,3,3
20200705163,2,3
20200705162,4,2
20200705161,2,4
20200705160,3,2
20200705159,8,3
20200705158,1,8
20200705157,6,1
20200705156,9,6
20200705155,7,9
20200705154,3,7
20200705153,8,3
20200705152,1,8
20200705151,8,1
20200705150,4,8
20200705149,7,4
20200705148,6,7
20200705147,9,6
20200705146,7,9
20200705145,1,7
20200705144,2,1
20200705143,4,2
20200705142,7,4
20200705141,8,7
20200705140,1,8
20200705139,8,1
20200705138,0,8
20200705137,2,0
20200705136,8,2
20200705135,6,8
20200705134,3,6
20200705133,4,3
20200705132,3,4
20200705131,5,3
20200705130,1,5
20200705129,7,1
20200705128,4,7
20200705127,4,4
20200705126,7,4
20200705125,1,7
20200705124,7,1
20200705123,8,7
20200705122,2,8
20200705121,9,2
20200705120,3,9
20200705119,3,3
20200705118,3,3
20200705117,9,3
20200705116,1,9
20200705115,6,1
20200705114,2,6
20200705113,6,2
20200705112,5,6
20200705111,5,5
20200705110,2,5
20200705109,6,2
20200705108,1,6
20200705107,0,1
20200705106,5,0
20200705105,1,5
20200705104,2,1
20200705103,8,2
20200705102,8,8
20200705101,0,8
20200705100,5,0
20200705099,5,5
20200705098,4,5
20200705097,7,4
20200705096,6,7
20200705095,8,6
20200705094,6,8
20200705093,5,6
20200705092,1,5
20200705091,1,1
20200705090,4,1
20200705089,3,4
20200705088,5,3
20200705087,0,5
20200705086,5,0
20200705085,1,5
20200705084,6,1
20200705083,7,6
20200705082,7,7
20200705081,1,7
20200705080,2,1
20200705079,5,2
20200705078,6,5
20200705077,5,6
20200705076,7,5
20200705075,7,7
20200705074,8,7
20200705073,4,8
20200705072,9,4
20200705071,0,9
20200705070,7,0
20200705069,2,7
20200705068,1,2
20200705067,7,1
20200705066,4,7
20200705065,7,4
20200705064,3,7
20200705063,2,3
20200705062,9,2
20200705061,5,9
20200705060,9,5
20200705059,4,9
20200705058,9,4
20200705057,7,9
20200705056,7,7
20200705055,3,7
20200705054,7,3
20200705053,9,7
20200705052,6,9
20200705051,4,6
20200705050,9,4
20200705049,0,9
20200705048,1,0
20200705047,4,1
20200705046,8,4
20200705045,1,8
20200705044,5,1
20200705043,2,5
20200705042,7,2
20200705041,6,7
20200705040,4,6
20200705039,4,4
20200705038,0,4
20200705037,1,0
20200705036,6,1
20200705035,0,6
20200705034,0,0
20200705033,1,0
20200705032,6,1
20200705031,9,6
20200705030,0,9
20200705029,7,0
20200705028,1,7
20200705027,3,1
20200705026,4,3
20200705025,2,4
20200705024,4,2
20200705023,9,4
20200705022,9,9
20200705021,9,9
20200705020,9,9
20200705019,6,9
20200705018,4,6
20200705017,5,4
20200705016,4,5
20200705015,9,4
20200705014,5,9
20200705013,0,5
20200705012,0,0
20200705011,4,0
20200705010,5,4
20200705009,6,5
20200705008,6,6
20200705007,4,6
20200705006,8,4
20200705005,7,8
20200705004,7,7
20200705003,0,7
20200705002,0,0
20200705001,6,0
20200704480,5,6
20200704479,2,5
20200704478,6,2
20200704477,8,6
20200704476,4,8
20200704475,1,4
20200704474,3,1
20200704473,9,3
20200704472,6,9
20200704471,8,6
20200704470,5,8
20200704469,5,5
20200704468,2,5
20200704467,1,2
20200704466,5,1
20200704465,6,5
20200704464,3,6
20200704463,2,3
20200704462,7,2
20200704461,5,7
20200704460,7,5
20200704459,6,7
20200704458,2,6
20200704457,4,2
20200704456,8,4
20200704455,3,8
20200704454,0,3
20200704453,1,0
20200704452,1,1
20200704451,9,1
20200704450,1,9
20200704449,6,1
20200704448,9,6
20200704447,9,9
20200704446,0,9
20200704445,6,0
20200704444,0,6
20200704443,8,0
20200704442,2,8
20200704441,1,2
20200704440,4,1
20200704439,0,4
20200704438,9,0
20200704437,4,9
20200704436,4,4
20200704435,2,4
20200704434,3,2
20200704433,5,3
20200704432,9,5
20200704431,8,9
20200704430,8,8
20200704429,6,8
20200704428,2,6
20200704427,2,2
20200704426,6,2
20200704425,4,6
20200704424,9,4
20200704423,4,9
20200704422,6,4
20200704421,7,6
20200704420,8,7
20200704419,7,8
20200704418,4,7
20200704417,2,4
20200704416,7,2
20200704415,9,7
20200704414,6,9
20200704413,3,6
20200704412,0,3
20200704411,5,0
20200704410,9,5
20200704409,1,9
20200704408,5,1
20200704407,4,5
20200704406,7,4
20200704405,2,7
20200704404,6,2
20200704403,3,6
20200704402,0,3
20200704401,0,0
20200704400,4,0
20200704399,8,4
20200704398,5,8
20200704397,2,5
20200704396,9,2
20200704395,9,9
20200704394,3,9
20200704393,7,3
20200704392,5,7
20200704391,4,5
20200704390,6,4
20200704389,0,6
20200704388,7,0
20200704387,7,7
20200704386,0,7
20200704385,3,0
20200704384,2,3
20200704383,6,2
20200704382,0,6
20200704381,6,0
20200704380,3,6
20200704379,8,3
20200704378,7,8
20200704377,4,7
20200704376,9,4
20200704375,3,9
20200704374,2,3
20200704373,9,2
20200704372,4,9
20200704371,2,4
20200704370,1,2
20200704369,7,1
20200704368,1,7
20200704367,9,1
20200704366,6,9
20200704365,9,6
20200704364,0,9
20200704363,9,0
20200704362,7,9
20200704361,2,7
20200704360,6,2
20200704359,1,6
20200704358,6,1
20200704357,0,6
20200704356,0,0
20200704355,9,0
20200704354,0,9
20200704353,6,0
20200704352,0,6
20200704351,3,0
20200704350,9,3
20200704349,2,9
20200704348,2,2
20200704347,6,2
20200704346,3,6
20200704345,5,3
20200704344,8,5
20200704343,3,8
20200704342,8,3
20200704341,0,8
20200704340,1,0
20200704339,8,1
20200704338,4,8
20200704337,4,4
20200704336,7,4
20200704335,7,7
20200704334,4,7
20200704333,9,4
20200704332,1,9
20200704331,9,1
20200704330,1,9
20200704329,1,1
20200704328,1,1
20200704327,7,1
20200704326,7,7
20200704325,9,7
20200704324,1,9
20200704323,1,1
20200704322,3,1
20200704321,7,3
20200704320,3,7
20200704319,1,3
20200704318,6,1
20200704317,5,6
20200704316,9,5
20200704315,6,9
20200704314,1,6
20200704313,8,1
20200704312,8,8
20200704311,0,8
20200704310,7,0
20200704309,5,7
20200704308,8,5
20200704307,7,8
20200704306,6,7
20200704305,5,6
20200704304,2,5
20200704303,6,2
20200704302,8,6
20200704301,5,8
20200704300,6,5
20200704299,8,6
20200704298,2,8
20200704297,5,2
20200704296,6,5
20200704295,1,6
20200704294,6,1
20200704293,4,6
20200704292,4,4
20200704291,2,4
20200704290,3,2
20200704289,8,3
20200704288,2,8
20200704287,4,2
20200704286,1,4
20200704285,1,1
20200704284,9,1
20200704283,6,9
20200704282,5,6
20200704281,1,5
20200704280,4,1
20200704279,8,4
20200704278,1,8
20200704277,5,1
20200704276,8,5
20200704275,5,8
20200704274,5,5
20200704273,2,5
20200704272,4,2
20200704271,1,4
20200704270,1,1
20200704269,6,1
20200704268,8,6
20200704267,1,8
20200704266,8,1
20200704265,7,8
20200704264,5,7
20200704263,5,5
20200704262,0,5
20200704261,2,0
20200704260,7,2
20200704259,1,7
20200704258,3,1
20200704257,2,3
20200704256,9,2
20200704255,3,9
20200704254,7,3
20200704253,8,7
20200704252,0,8
20200704251,4,0
20200704250,5,4
20200704249,6,5
20200704248,9,6
20200704247,5,9
20200704246,3,5
20200704245,2,3
20200704244,0,2
20200704243,9,0
20200704242,8,9
20200704241,4,8
20200704240,9,4
20200704239,8,9
20200704238,6,8
20200704237,8,6
20200704236,0,8
20200704235,9,0
20200704234,8,9
20200704233,9,8
20200704232,5,9
20200704231,2,5
20200704230,7,2
20200704229,2,7
20200704228,2,2
20200704227,8,2
20200704226,3,8
20200704225,7,3
20200704224,4,7
20200704223,9,4
20200704222,5,9
20200704221,4,5
20200704220,1,4
20200704219,6,1
20200704218,2,6
20200704217,3,2
20200704216,9,3
20200704215,7,9
20200704214,8,7
20200704213,8,8
20200704212,7,8
20200704211,6,7
20200704210,5,6
20200704209,2,5
20200704208,5,2
20200704207,8,5
20200704206,8,8
20200704205,6,8
20200704204,3,6
20200704203,9,3
20200704202,9,9
20200704201,2,9
20200704200,3,2
20200704199,9,3
20200704198,1,9
20200704197,3,1
20200704196,0,3
20200704195,2,0
20200704194,5,2
20200704193,5,5
20200704192,9,5
20200704191,4,9
20200704190,5,4
20200704189,4,5
20200704188,1,4
20200704187,6,1
20200704186,8,6
20200704185,5,8
20200704184,5,5
20200704183,3,5
20200704182,0,3
20200704181,0,0
20200704180,5,0
20200704179,4,5
20200704178,7,4
20200704177,2,7
20200704176,5,2
20200704175,8,5
20200704174,6,8
