period,pnumber,nnumber
20200728071,0,8
20200728070,0,0
20200728069,0,0
20200728068,6,0
20200728067,3,6
20200728066,3,3
20200728065,3,3
20200728064,8,3
20200728063,6,8
20200728062,0,6
20200728061,6,0
20200728060,8,6
20200728059,5,8
20200728058,8,5
20200728057,2,8
20200728056,2,2
20200728055,6,2
20200728054,8,6
20200728053,2,8
20200728052,8,2
20200728051,3,8
20200728050,3,3
20200728049,9,3
20200728048,4,9
20200728047,3,4
20200728046,5,3
20200728045,5,5
20200728044,8,5
20200728043,5,8
20200728042,6,5
20200728041,7,6
20200728040,5,7
20200728039,8,5
20200728038,2,8
20200728037,5,2
20200728036,7,5
20200728035,7,7
20200728034,0,7
20200728033,1,0
20200728032,1,1
20200728031,3,1
20200728030,2,3
20200728029,8,2
20200728028,7,8
20200728027,0,7
20200728026,3,0
20200728025,0,3
20200728024,0,0
20200728023,3,0
20200728022,6,3
20200728021,3,6
20200728020,9,3
20200728019,8,9
20200728018,9,8
20200728017,9,9
20200728016,5,9
20200728015,2,5
20200728014,7,2
20200728013,7,7
20200728012,6,7
20200728011,6,6
20200728010,1,6
20200728009,5,1
20200728008,3,5
20200728007,9,3
20200728006,6,9
20200728005,3,6
20200728004,1,3
20200728003,8,1
20200728002,5,8
20200728001,5,5
20200727480,9,5
20200727479,9,9
20200727478,5,9
20200727477,9,5
20200727476,9,9
20200727475,5,9
20200727474,1,5
20200727473,9,1
20200727472,2,9
20200727471,3,2
20200727470,4,3
20200727469,7,4
20200727468,9,7
20200727467,5,9
20200727466,8,5
20200727465,2,8
20200727464,5,2
20200727463,0,5
20200727462,4,0
20200727461,5,4
20200727460,9,5
20200727459,1,9
20200727458,0,1
20200727457,5,0
20200727456,8,5
20200727455,6,8
20200727454,9,6
20200727453,4,9
20200727452,6,4
20200727451,4,6
20200727450,9,4
20200727449,3,9
20200727448,4,3
20200727447,8,4
20200727446,2,8
20200727445,2,2
20200727444,6,2
20200727443,0,6
20200727442,0,0
20200727441,6,0
20200727440,0,6
20200727439,9,0
20200727438,7,9
20200727437,2,7
20200727436,2,2
20200727435,5,2
20200727434,5,5
20200727433,8,5
20200727432,4,8
20200727431,4,4
20200727430,3,4
20200727429,6,3
20200727428,3,6
20200727427,0,3
20200727426,1,0
20200727425,8,1
20200727424,3,8
20200727423,3,3
20200727422,7,3
20200727421,5,7
20200727420,8,5
20200727419,2,8
20200727418,5,2
20200727417,1,5
20200727416,7,1
20200727415,0,7
20200727414,8,0
20200727413,8,8
20200727412,9,8
20200727411,3,9
20200727410,5,3
20200727409,0,5
20200727408,5,0
20200727407,4,5
20200727406,9,4
20200727405,2,9
20200727404,5,2
20200727403,8,5
20200727402,1,8
20200727401,5,1
20200727400,0,5
20200727399,1,0
20200727398,6,1
20200727397,4,6
20200727396,3,4
20200727395,0,3
20200727394,6,0
20200727393,7,6
